constituency_no,constituency_name,district,election_type,reserved_status,winner_name,winner_party,winner_party_full,winner_votes,winner_vote_share_pct,runner_up_name,runner_up_party,runner_up_party_full,runner_up_votes,runner_up_vote_share_pct,margin_votes,margin_pct,total_valid_votes,nota_votes,turnout_pct,source_name,source_url,source_type,last_verified,notes
1,Mekliganj,Cooch Behar,assembly_2021,SC,DADHIRAM RAY,BJP,Bharatiya Janata Party,84653,85.16,GOBINDA CHANDRA ROY,OTHER,Other Parties,6853,6.89,77800,78.26,99406,2447,43.89,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
2,Mathabhanga,Cooch Behar,assembly_2021,SC,Sushil Barman,BJP,Bharatiya Janata Party,113249,52.87,Girindra Nath Barman,AITC,All India Trinamool Congress,87115,40.67,26134,12.20,214203,1443,86.36,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
3,COOCHBEHAR UTTAR,Cooch Behar,assembly_2021,SC,SUKUMAR ROY,BJP,Bharatiya Janata Party,120483,49.40,BINAY KRISHNA BARMAN,AITC,All India Trinamool Congress,105868,43.40,14615,5.99,243916,1570,86.19,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
4,Coochbehar Dakshin,Cooch Behar,assembly_2021,GEN,Nikhil Ranjan Dey,BJP,Bharatiya Janata Party,91560,46.83,Avijit De Bhowmik,AITC,All India Trinamool Congress,86629,44.31,4931,2.52,195505,1464,83.61,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
5,Sitalkuchi,Cooch Behar,assembly_2021,SC,Baren Chandra Barman,BJP,Bharatiya Janata Party,124955,50.80,Partha Pratim Ray,AITC,All India Trinamool Congress,107140,43.56,17815,7.24,245966,2743,86.23,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
6,Sitai,Cooch Behar,assembly_2021,SC,JAGADISH CHANDRA BARMA BASUNIA,AITC,All India Trinamool Congress,117908,49.42,DIPAK KUMAR ROY,BJP,Bharatiya Janata Party,107796,45.18,10112,4.24,238578,1577,82.11,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
7,Dinhata,Cooch Behar,assembly_2021,SC,NISITH PRAMANIK,BJP,Bharatiya Janata Party,116035,47.60,UDAYAN GUHA,AITC,All India Trinamool Congress,115978,47.58,57,0.02,243751,1537,81.45,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
8,Natabari,Cooch Behar,assembly_2021,GEN,Mihir Goswami,BJP,Bharatiya Janata Party,111743,51.45,Rabindra Nath Ghosh,AITC,All India Trinamool Congress,88303,40.66,23440,10.79,217173,1146,88.63,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
9,Tufanganj,Cooch Behar,assembly_2021,SC,Malati Rava Roy,BJP,Bharatiya Janata Party,114503,54.69,Pranab Kumar Dey,AITC,All India Trinamool Congress,83305,39.79,31198,14.90,209378,2069,89.36,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
10,Kumargram,Alipurduar,assembly_2021,ST,MANOJ KUMAR ORAON,BJP,Bharatiya Janata Party,111974,48.16,LEOS KUJUR (URAO),AITC,All India Trinamool Congress,100973,43.43,11001,4.73,232489,2718,85.18,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
